SUKL kod;Celkova cena;Datum zmeny;Zdroj
0336E;10.47;15.10.2024;mzsr
03378;0.50;15.10.2024;mzsr
03417;4.35;15.10.2024;mzsr
0341C;186.87;15.10.2024;mzsr
0347D;149.04;15.10.2024;mzsr
0350B;5.26;15.10.2024;mzsr
0350D;163.59;15.10.2024;mzsr
03514;15.96;15.10.2024;mzsr
0351C;8.13;15.10.2024;mzsr
03542;1.80;15.10.2024;mzsr
0358B;1274.21;15.10.2024;mzsr
03617;3.27;15.10.2024;mzsr
0363E;14827.50;15.10.2024;mzsr
0366C;4.67;15.10.2024;mzsr
03692;2.94;15.10.2024;mzsr
0371B;181.62;15.10.2024;mzsr
03739;20.29;15.10.2024;mzsr
0373C;7.28;15.10.2024;mzsr
0374C;18.20;15.10.2024;mzsr
0375B;4.89;15.10.2024;mzsr
03776;57.51;15.10.2024;mzsr
03783;18.35;15.10.2024;mzsr
0381C;7.28;15.10.2024;mzsr
0382B;41.07;15.10.2024;mzsr
0382C;18.20;15.10.2024;mzsr
0384B;234.09;15.10.2024;mzsr
03856;396.48;15.10.2024;mzsr
0385B;70.23;15.10.2024;mzsr
0387B;117.06;15.10.2024;mzsr
0389B;299.09;15.10.2024;mzsr
03907;4.40;15.10.2024;mzsr
0391B;598.18;15.10.2024;mzsr
0398C;6.05;15.10.2024;mzsr
0406B;65.79;15.10.2024;mzsr
04071;8.22;04.02.2025;mzsr
04076;3.72;15.10.2024;mzsr
04078;6.20;15.10.2024;mzsr
0410C;20.37;15.10.2024;mzsr
04156;2.10;15.10.2024;mzsr
0416C;21.27;15.10.2024;mzsr
04178;1.70;15.10.2024;mzsr
04241;3.69;15.10.2024;mzsr
04304;14.50;15.10.2024;mzsr
04306;1.31;15.10.2024;mzsr
0430C;476.18;15.10.2024;mzsr
04311;1.31;15.10.2024;mzsr
0432C;8800.49;15.10.2024;mzsr
04330;70.20;15.10.2024;mzsr
04380;23.25;15.10.2024;mzsr
0440A;4.79;15.10.2024;mzsr
0456A;7.44;15.10.2024;mzsr
0458E;6.54;15.10.2024;mzsr
04619;1.89;15.10.2024;mzsr
04621;5.67;15.10.2024;mzsr
04622;4.50;15.10.2024;mzsr
04625;3.84;15.10.2024;mzsr
04627;11.52;15.10.2024;mzsr
0462C;20.05;15.10.2024;mzsr
04652;14.39;15.10.2024;mzsr
0466E;19.62;15.10.2024;mzsr
0471B;11.50;15.10.2024;mzsr
0475D;4.25;15.10.2024;mzsr
0476C;40.10;15.10.2024;mzsr
0476D;12.75;15.10.2024;mzsr
04786;3.53;15.10.2024;mzsr
0478E;8.28;15.10.2024;mzsr
04791;12.35;15.10.2024;mzsr
04859;141.27;15.10.2024;mzsr
0486E;24.84;15.10.2024;mzsr
04884;22.05;15.10.2024;mzsr
0490C;80.19;15.10.2024;mzsr
0492D;25.12;15.10.2024;mzsr
0496C;6.54;15.10.2024;mzsr
04976;4.55;15.10.2024;mzsr
0497C;16.35;15.10.2024;mzsr
04986;11.46;15.10.2024;mzsr
0498E;9.12;15.10.2024;mzsr
04998;15.19;15.10.2024;mzsr
05041;1.12;15.10.2024;mzsr
05044;0.56;15.10.2024;mzsr
05053;4.84;15.10.2024;mzsr
05060;16.94;15.10.2024;mzsr
0507D;1292.97;15.10.2024;mzsr
05089;3.98;15.10.2024;mzsr
05097;14.20;15.10.2024;mzsr
05108;6.15;15.10.2024;mzsr
0510D;66.26;15.10.2024;mzsr
05116;21.93;15.10.2024;mzsr
0511C;136.66;15.10.2024;mzsr
0512E;30.40;15.10.2024;mzsr
05158;2.39;15.10.2024;mzsr
05161;4.79;15.10.2024;mzsr
05172;3.72;15.10.2024;mzsr
05175;7.45;15.10.2024;mzsr
05182;16.17;15.10.2024;mzsr
05194;15.73;15.10.2024;mzsr
0524C;4.83;15.10.2024;mzsr
05252;2.58;15.10.2024;mzsr
05254;3.29;15.10.2024;mzsr
05256;4.02;15.10.2024;mzsr
0525C;5.19;15.10.2024;mzsr
05310;19.77;15.10.2024;mzsr
0533D;34.08;02.09.2025;mzsr
0534D;4.45;15.10.2024;mzsr
0535C;16.94;15.10.2024;mzsr
0535D;13.35;15.10.2024;mzsr
0537E;28.41;15.10.2024;mzsr
0545D;12.41;15.10.2024;mzsr
0547E;29.40;15.10.2024;mzsr
05496;3.24;15.10.2024;mzsr
0549E;82.32;15.10.2024;mzsr
0551D;29.61;15.10.2024;mzsr
0560D;1980.91;15.10.2024;mzsr
05617;3.09;15.10.2024;mzsr
0561D;313.89;15.10.2024;mzsr
0563E;29.40;15.10.2024;mzsr
0565E;82.32;15.10.2024;mzsr
0567B;3.92;15.10.2024;mzsr
05695;56.53;15.10.2024;mzsr
05700;84.80;15.10.2024;mzsr
0570B;1.96;15.10.2024;mzsr
05710;113.06;15.10.2024;mzsr
05718;141.33;15.10.2024;mzsr
05752;773.13;15.10.2024;mzsr
05754;1130.64;15.10.2024;mzsr
05850;44.10;15.10.2024;mzsr
05855;43.04;15.10.2024;mzsr
05867;9.08;15.10.2024;mzsr
05872;6.15;15.10.2024;mzsr
05878;9.69;15.10.2024;mzsr
05883;849.99;15.10.2024;mzsr
05884;81.25;15.10.2024;mzsr
05886;182.80;15.10.2024;mzsr
0589B;1.29;15.10.2024;mzsr
0591B;3.87;15.10.2024;mzsr
05924;26.36;15.10.2024;mzsr
05925;39.39;15.10.2024;mzsr
0593B;1.74;15.10.2024;mzsr
0595B;5.22;15.10.2024;mzsr
0596D;173.30;15.10.2024;mzsr
0597B;1.89;15.10.2024;mzsr
0599B;5.67;15.10.2024;mzsr
0601A;286.69;15.10.2024;mzsr
06095;5.80;15.10.2024;mzsr
06096;3.48;15.10.2024;mzsr
06200;1.74;15.10.2024;mzsr
06215;152.90;15.10.2024;mzsr
06221;113.06;15.10.2024;mzsr
06231;71.96;15.10.2024;mzsr
06232;94.59;15.10.2024;mzsr
06233;118.04;15.10.2024;mzsr
06234;175.50;15.10.2024;mzsr
06238;1.63;15.10.2024;mzsr
06241;4.08;15.10.2024;mzsr
0625A;14.43;15.10.2024;mzsr
0627A;43.29;15.10.2024;mzsr
0633D;1205.94;15.10.2024;mzsr
06340;4.06;15.10.2024;mzsr
0636D;852.28;15.10.2024;mzsr
0639D;1.33;15.10.2024;mzsr
06408;56.49;15.10.2024;mzsr
0640D;3.32;15.10.2024;mzsr
0643D;722.05;15.10.2024;mzsr
0644D;4044.31;15.10.2024;mzsr
0645D;136.66;15.10.2024;mzsr
0656D;74.86;15.10.2024;mzsr
0661C;20.05;15.10.2024;mzsr
0663C;40.10;15.10.2024;mzsr
0663D;5.40;15.10.2024;mzsr
0665C;80.19;15.10.2024;mzsr
0666E;706.56;15.10.2024;mzsr
0667D;16.20;15.10.2024;mzsr
0669C;85.38;15.10.2024;mzsr
0675E;485.66;03.01.2025;mzsr
06762;8.12;15.10.2024;mzsr
0678A;10.23;15.10.2024;mzsr
06798;3.53;15.10.2024;mzsr
06804;12.35;15.10.2024;mzsr
0680A;30.69;15.10.2024;mzsr
06816;6.86;15.10.2024;mzsr
0683E;71.95;15.10.2024;mzsr
0684B;40.99;15.10.2024;mzsr
0684E;94.58;15.10.2024;mzsr
0685E;118.01;15.10.2024;mzsr
0686C;0.99;15.10.2024;mzsr
0686E;175.49;15.10.2024;mzsr
0688B;131.75;15.10.2024;mzsr
06926;17.30;15.10.2024;mzsr
0692C;3.30;15.10.2024;mzsr
0693B;40.71;15.10.2024;mzsr
0693E;8.12;15.10.2024;mzsr
06945;18.77;15.10.2024;mzsr
0696C;1.98;15.10.2024;mzsr
0696E;28.41;15.10.2024;mzsr
0697B;130.83;15.10.2024;mzsr
0697D;7.65;15.10.2024;mzsr
0699B;7.38;15.10.2024;mzsr
0700B;10.80;15.10.2024;mzsr
07040;2.78;15.10.2024;mzsr
07045;9.80;15.10.2024;mzsr
0708C;3.72;15.10.2024;mzsr
0709C;6.20;15.10.2024;mzsr
0710C;12.40;15.10.2024;mzsr
07128;5.40;15.10.2024;mzsr
0712B;4.83;15.10.2024;mzsr
0714C;14.48;15.10.2024;mzsr
07226;0.38;15.10.2024;mzsr
07227;0.76;15.10.2024;mzsr
0731D;6.75;15.10.2024;mzsr
07339;907.68;15.10.2024;mzsr
07348;42.70;15.10.2024;mzsr
0734A;30.24;15.10.2024;mzsr
0734C;17.89;15.10.2024;mzsr
