SUKL kod;Celkova cena;Datum zmeny;Zdroj
13428;22.17;15.10.2024;mzsr
13435;7.70;15.10.2024;mzsr
1347D;2821.43;15.10.2024;mzsr
1349E;10.47;15.10.2024;mzsr
1353E;36.65;15.10.2024;mzsr
13556;0.45;15.10.2024;mzsr
13558;0.90;15.10.2024;mzsr
1362C;6.35;15.10.2024;mzsr
1365C;73.10;15.10.2024;mzsr
13698;1.47;15.10.2024;mzsr
13723;2.70;15.10.2024;mzsr
13753;8.86;15.10.2024;mzsr
13772;450.00;04.02.2025;mzsr
1380D;4208.04;15.10.2024;mzsr
1380E;4.23;15.10.2024;mzsr
13846;26.37;15.10.2024;mzsr
1384E;18.44;15.10.2024;mzsr
13853;2.91;15.10.2024;mzsr
13856;8.73;15.10.2024;mzsr
13859;3.36;15.10.2024;mzsr
13863;10.08;15.10.2024;mzsr
13865;4.05;15.10.2024;mzsr
13869;12.15;15.10.2024;mzsr
13871;4.50;15.10.2024;mzsr
13875;13.50;15.10.2024;mzsr
13892;3.00;15.10.2024;mzsr
13894;17.83;15.10.2024;mzsr
13897;3.75;15.10.2024;mzsr
13902;7.50;15.10.2024;mzsr
13906;32.60;15.10.2024;mzsr
13907;14.92;15.10.2024;mzsr
1396E;11.22;15.10.2024;mzsr
13971;7.03;15.10.2024;mzsr
13973;15.06;15.10.2024;mzsr
13975;22.88;15.10.2024;mzsr
1399C;1.71;15.10.2024;mzsr
14052;6.05;15.10.2024;mzsr
14079;7.28;15.10.2024;mzsr
14082;0.52;15.10.2024;mzsr
1410E;36.65;15.10.2024;mzsr
14110;156.13;15.10.2024;mzsr
14112;323.41;15.10.2024;mzsr
1420E;468.52;15.10.2024;mzsr
1441E;232.29;02.09.2025;mzsr
14511;6.00;15.10.2024;mzsr
1456B;2835.60;15.10.2024;mzsr
1457B;5662.28;15.10.2024;mzsr
14594;0.20;15.10.2024;mzsr
14596;0.41;15.10.2024;mzsr
14598;0.81;15.10.2024;mzsr
1459B;662.03;15.10.2024;mzsr
14609;0.49;15.10.2024;mzsr
14610;0.98;15.10.2024;mzsr
14624;1.52;15.10.2024;mzsr
14625;4.55;15.10.2024;mzsr
14675;20.91;15.10.2024;mzsr
14677;26.45;15.10.2024;mzsr
14680;13.10;15.10.2024;mzsr
14682;6.21;15.10.2024;mzsr
14758;13.81;15.10.2024;mzsr
1480C;5.28;15.10.2024;mzsr
14814;19.89;15.10.2024;mzsr
14817;30.36;15.10.2024;mzsr
14825;44.09;15.10.2024;mzsr
14829;64.58;15.10.2024;mzsr
14832;80.01;15.10.2024;mzsr
14835;92.90;15.10.2024;mzsr
14838;113.86;15.10.2024;mzsr
1484E;4.97;15.10.2024;mzsr
1485A;23.65;15.10.2024;mzsr
1485C;17.25;15.10.2024;mzsr
1487D;793.40;15.10.2024;mzsr
1488A;23.65;15.10.2024;mzsr
14922;9.12;15.10.2024;mzsr
1492E;12.67;15.10.2024;mzsr
1493B;28.87;15.10.2024;mzsr
14959;0.63;15.10.2024;mzsr
14977;122.00;15.10.2024;mzsr
14979;244.00;15.10.2024;mzsr
14987;122.00;15.10.2024;mzsr
14989;244.00;15.10.2024;mzsr
14992;486.92;15.10.2024;mzsr
14993;732.00;15.10.2024;mzsr
15009;325.70;15.10.2024;mzsr
1500E;32.90;15.10.2024;mzsr
15011;0.39;15.10.2024;mzsr
1501B;29.33;15.10.2024;mzsr
15029;0.78;15.10.2024;mzsr
15084;1.57;15.10.2024;mzsr
1509B;29.29;15.10.2024;mzsr
15114;2.96;15.10.2024;mzsr
15115;2.96;15.10.2024;mzsr
15116;2.10;15.10.2024;mzsr
15146;6.40;15.10.2024;mzsr
15147;3.40;15.10.2024;mzsr
1517B;56.53;15.10.2024;mzsr
1525C;14.48;15.10.2024;mzsr
15274;2.62;15.10.2024;mzsr
1527C;17.89;15.10.2024;mzsr
15284;3.72;15.10.2024;mzsr
1532D;1901.32;15.10.2024;mzsr
1534D;3815.37;15.10.2024;mzsr
1538B;444.36;15.10.2024;mzsr
15394;2.93;15.10.2024;mzsr
15412;4.27;15.10.2024;mzsr
15413;28.15;15.10.2024;mzsr
1541B;632.10;15.10.2024;mzsr
15426;1.47;15.10.2024;mzsr
1543B;14.79;15.10.2024;mzsr
1548B;16.80;15.10.2024;mzsr
15515;5.14;15.10.2024;mzsr
1553D;4.06;15.10.2024;mzsr
1555D;5.26;15.10.2024;mzsr
1556E;5.37;15.10.2024;mzsr
15573;1.08;15.10.2024;mzsr
1557D;214.76;15.10.2024;mzsr
1559A;11.16;15.10.2024;mzsr
1560A;44.57;15.10.2024;mzsr
1561D;31.00;15.10.2024;mzsr
1562A;44.64;15.10.2024;mzsr
15722;7.23;15.10.2024;mzsr
1572B;6.54;15.10.2024;mzsr
1573B;19.62;15.10.2024;mzsr
1578B;8.28;15.10.2024;mzsr
1579B;24.84;15.10.2024;mzsr
15849;4.61;15.10.2024;mzsr
1585D;134.96;15.10.2024;mzsr
15868;1.04;15.10.2024;mzsr
15869;2.08;15.10.2024;mzsr
15870;4.16;15.10.2024;mzsr
15886;0.84;15.10.2024;mzsr
15887;2.10;15.10.2024;mzsr
1589B;12.75;15.10.2024;mzsr
15915;13.47;15.10.2024;mzsr
15918;5.60;15.10.2024;mzsr
15943;4.24;15.10.2024;mzsr
15946;13.07;15.10.2024;mzsr
15954;516.80;04.11.2024;mzsr
15977;1.62;15.10.2024;mzsr
1597C;6.32;15.10.2024;mzsr
1600C;6.32;15.10.2024;mzsr
1605C;37.45;15.10.2024;mzsr
1606C;22.66;15.10.2024;mzsr
1606D;155.06;15.10.2024;mzsr
1607E;6.20;15.10.2024;mzsr
1610E;9.30;15.10.2024;mzsr
1620C;6.12;15.10.2024;mzsr
1626C;6.96;15.10.2024;mzsr
1627C;23.20;15.10.2024;mzsr
1635E;7.45;15.10.2024;mzsr
1638E;11.17;15.10.2024;mzsr
1655C;14.48;15.10.2024;mzsr
1675D;155.06;15.10.2024;mzsr
1677E;14.90;15.10.2024;mzsr
1689E;2.46;15.10.2024;mzsr
1690E;7.38;15.10.2024;mzsr
1693E;3.60;15.10.2024;mzsr
1694E;10.80;15.10.2024;mzsr
1695C;17.89;15.10.2024;mzsr
1695D;26.16;15.10.2024;mzsr
1705E;2797.07;15.10.2024;mzsr
17156;4.06;15.10.2024;mzsr
1746D;292.17;15.10.2024;mzsr
1760C;22.17;15.10.2024;mzsr
1763D;621.81;15.10.2024;mzsr
1774E;3.72;15.10.2024;mzsr
1776E;6.17;15.10.2024;mzsr
1780D;1056.14;15.10.2024;mzsr
1802A;1.62;15.10.2024;mzsr
1803A;2.70;15.10.2024;mzsr
1803C;3.69;15.10.2024;mzsr
1805C;468.54;15.10.2024;mzsr
1806A;5.40;15.10.2024;mzsr
1813D;8.75;15.10.2024;mzsr
1816D;17.50;15.10.2024;mzsr
1832A;9.99;15.10.2024;mzsr
1840E;90.05;15.10.2024;mzsr
18411;3.00;15.10.2024;mzsr
18416;3.30;15.10.2024;mzsr
1841E;8986.11;15.10.2024;mzsr
18430;8.80;15.10.2024;mzsr
1848D;20.37;15.10.2024;mzsr
18495;3.15;15.10.2024;mzsr
18536;4.31;15.10.2024;mzsr
1854D;21.27;15.10.2024;mzsr
18600;3.28;15.10.2024;mzsr
18614;4.06;15.10.2024;mzsr
18639;2.62;15.10.2024;mzsr
1864D;353.41;15.10.2024;mzsr
1868C;9.17;15.10.2024;mzsr
1876C;17.74;15.10.2024;mzsr
1883C;2319.12;15.10.2024;mzsr
1888C;80.60;15.10.2024;mzsr
1888E;2.10;15.10.2024;mzsr
1889C;155.52;15.10.2024;mzsr
1890C;306.56;15.10.2024;mzsr
1902E;4.20;15.10.2024;mzsr
1904E;14.70;15.10.2024;mzsr
1909E;5.60;15.10.2024;mzsr
1914E;102.06;15.10.2024;mzsr
1915E;408.21;15.10.2024;mzsr
1917C;14.48;15.10.2024;mzsr
1924C;17.89;15.10.2024;mzsr
1940D;2.93;15.10.2024;mzsr
1941C;1918.99;15.10.2024;mzsr
1941D;8.80;15.10.2024;mzsr
1942C;2503.03;15.10.2024;mzsr
1943C;3337.39;15.10.2024;mzsr
1944E;333.45;15.10.2024;mzsr
1978A;23.65;15.10.2024;mzsr
1979E;468.52;15.10.2024;mzsr
1985C;14.48;15.10.2024;mzsr
20049;2333.31;15.10.2024;mzsr
20054;2.55;15.10.2024;mzsr
20057;3.03;15.10.2024;mzsr
20061;9.09;15.10.2024;mzsr
2006C;17.89;15.10.2024;mzsr
2006E;136.65;15.10.2024;mzsr
20097;145.09;15.10.2024;mzsr
2012B;61.43;15.10.2024;mzsr
2015B;12.82;15.10.2024;mzsr
2018C;1.96;15.10.2024;mzsr
2022C;5.88;15.10.2024;mzsr
20237;151.02;15.10.2024;mzsr
2026C;2.38;15.10.2024;mzsr
20317;6.18;15.10.2024;mzsr
20334;59.31;15.10.2024;mzsr
20342;40.18;15.10.2024;mzsr
20343;4.84;15.10.2024;mzsr
20344;9.69;15.10.2024;mzsr
20345;16.95;15.10.2024;mzsr
20349;6.14;15.10.2024;mzsr
2034C;3.39;15.10.2024;mzsr
20356;3.98;15.10.2024;mzsr
20362;4.47;15.10.2024;mzsr
20363;14.90;15.10.2024;mzsr
20368;3.84;15.10.2024;mzsr
20379;4.05;15.10.2024;mzsr
2038E;593.00;15.10.2024;mzsr
2039C;10.89;15.10.2024;mzsr
2042C;3.81;15.10.2024;mzsr
2047C;12.24;15.10.2024;mzsr
20488;2.10;15.10.2024;mzsr
20495;2.80;15.10.2024;mzsr
20499;9.00;15.10.2024;mzsr
2051B;23.65;15.10.2024;mzsr
20582;794.84;15.10.2024;mzsr
20587;12.07;15.10.2024;mzsr
2058E;8.70;15.10.2024;mzsr
2059E;28.42;15.10.2024;mzsr
2061C;42.36;15.10.2024;mzsr
2062D;4.29;15.10.2024;mzsr
2064D;6.93;15.10.2024;mzsr
2071C;42.48;15.10.2024;mzsr
20736;3.42;15.10.2024;mzsr
2075D;292.17;15.10.2024;mzsr
2078D;621.81;15.10.2024;mzsr
2081C;41.50;15.10.2024;mzsr
2084D;1056.15;15.10.2024;mzsr
20884;0.63;15.10.2024;mzsr
20895;1.89;15.10.2024;mzsr
2089D;66.64;15.10.2024;mzsr
20905;1.26;15.10.2024;mzsr
20916;3.78;15.10.2024;mzsr
2091C;42.72;15.10.2024;mzsr
20926;3.00;15.10.2024;mzsr
20937;9.00;15.10.2024;mzsr
2097D;614.21;15.10.2024;mzsr
2101C;42.80;15.10.2024;mzsr
2115D;5.58;15.10.2024;mzsr
2117D;281.63;15.10.2024;mzsr
2118D;2.12;15.10.2024;mzsr
2121D;5.04;15.10.2024;mzsr
2122C;24.07;15.10.2024;mzsr
21245;0.63;15.10.2024;mzsr
21257;1.89;15.10.2024;mzsr
21270;1.21;15.10.2024;mzsr
21278;3.78;15.10.2024;mzsr
21287;3.00;15.10.2024;mzsr
21293;9.00;15.10.2024;mzsr
21302;3.58;15.10.2024;mzsr
21309;11.52;15.10.2024;mzsr
2135D;6.41;15.10.2024;mzsr
2140E;82.97;15.10.2024;mzsr
21481;2.83;15.10.2024;mzsr
2148E;85.46;15.10.2024;mzsr
2149D;7.14;15.10.2024;mzsr
2156E;85.59;15.10.2024;mzsr
2163D;6.30;15.10.2024;mzsr
2164E;84.73;15.10.2024;mzsr
21683;2.10;15.10.2024;mzsr
21691;2.80;15.10.2024;mzsr
21699;5.60;15.10.2024;mzsr
21707;984.63;15.10.2024;mzsr
21708;12.66;15.10.2024;mzsr
21714;25.31;15.10.2024;mzsr
2172E;84.95;15.10.2024;mzsr
2174A;26.34;15.10.2024;mzsr
2175A;45.60;15.10.2024;mzsr
2187E;40.50;01.07.2025;mzsr
2189C;66.77;15.10.2024;mzsr
2190D;249.27;15.10.2024;mzsr
2191B;2.81;15.10.2024;mzsr
2191C;162.05;15.10.2024;mzsr
2191D;501.89;15.10.2024;mzsr
2192A;32.16;15.10.2024;mzsr
2192D;783.89;15.10.2024;mzsr
21936;14.39;15.10.2024;mzsr
2194C;4932.65;15.10.2024;mzsr
2195E;1.25;15.10.2024;mzsr
2196D;608.48;15.10.2024;mzsr
2197D;912.72;15.10.2024;mzsr
2198A;25.92;15.10.2024;mzsr
2201C;7.70;15.10.2024;mzsr
2203C;26.94;15.10.2024;mzsr
2209D;507.20;15.10.2024;mzsr
22127;37.90;15.10.2024;mzsr
2212D;760.74;15.10.2024;mzsr
22154;8.48;15.10.2024;mzsr
2220C;29.61;15.10.2024;mzsr
2227D;8.75;15.10.2024;mzsr
22284;645.92;15.10.2024;mzsr
22315;119.04;15.10.2024;mzsr
2233B;101.61;15.10.2024;mzsr
22426;11.24;15.10.2024;mzsr
22427;33.74;15.10.2024;mzsr
22467;4.84;15.10.2024;mzsr
22492;4.65;15.10.2024;mzsr
2249A;12.81;15.10.2024;mzsr
2249E;27.44;15.10.2024;mzsr
2251A;75.36;15.10.2024;mzsr
2251E;41.15;15.10.2024;mzsr
2252E;96.04;15.10.2024;mzsr
22539;7.61;15.10.2024;mzsr
2254A;82.32;15.10.2024;mzsr
2257A;89.22;15.10.2024;mzsr
2264E;27.44;15.10.2024;mzsr
2266E;96.04;15.10.2024;mzsr
2270A;38.04;15.10.2024;mzsr
22723;59.31;15.10.2024;mzsr
2274D;363.13;15.10.2024;mzsr
22757;11.45;15.10.2024;mzsr
2275D;406.21;15.10.2024;mzsr
22767;4.55;15.10.2024;mzsr
2276D;4.25;15.10.2024;mzsr
22777;5.16;15.10.2024;mzsr
22779;15.48;15.10.2024;mzsr
2277D;12.75;15.10.2024;mzsr
2279D;19.99;15.10.2024;mzsr
22802;14.31;15.10.2024;mzsr
22813;21.33;15.10.2024;mzsr
22824;39.96;15.10.2024;mzsr
22835;74.13;15.10.2024;mzsr
2284A;38.04;15.10.2024;mzsr
22916;3.98;15.10.2024;mzsr
22919;7.95;15.10.2024;mzsr
23015;8.10;15.10.2024;mzsr
23019;27.00;15.10.2024;mzsr
2301B;2.32;15.10.2024;mzsr
23022;7.26;15.10.2024;mzsr
23026;24.07;15.10.2024;mzsr
23028;0.73;15.10.2024;mzsr
23029;1.46;15.10.2024;mzsr
23030;2.18;15.10.2024;mzsr
2304D;3703.44;15.10.2024;mzsr
2305D;782.95;15.10.2024;mzsr
2307D;782.95;15.10.2024;mzsr
23089;1.92;15.10.2024;mzsr
2309E;7.51;15.10.2024;mzsr
23101;14.39;15.10.2024;mzsr
23103;1.22;15.10.2024;mzsr
23104;2.43;15.10.2024;mzsr
23105;4.86;15.10.2024;mzsr
23144;6.43;15.10.2024;mzsr
2317E;6.87;15.10.2024;mzsr
23195;20.13;15.10.2024;mzsr
23197;21.90;15.10.2024;mzsr
23198;31.59;15.10.2024;mzsr
2319E;10.31;15.10.2024;mzsr
2322B;1.62;15.10.2024;mzsr
2323A;2.80;15.10.2024;mzsr
2323C;50.36;15.10.2024;mzsr
2324B;2.70;15.10.2024;mzsr
2328D;256.74;15.10.2024;mzsr
2329B;4.86;15.10.2024;mzsr
23302;0.75;15.10.2024;mzsr
23306;2.25;15.10.2024;mzsr
23315;1.05;15.10.2024;mzsr
23327;1.50;15.10.2024;mzsr
23331;4.50;15.10.2024;mzsr
23340;2.10;15.10.2024;mzsr
23342;24.15;15.10.2024;mzsr
2334E;14.09;15.10.2024;mzsr
23352;1.79;15.10.2024;mzsr
23376;28.13;15.10.2024;mzsr
23383;4.80;15.10.2024;mzsr
23384;14.39;15.10.2024;mzsr
23386;449.61;15.10.2024;mzsr
2338D;507.20;15.10.2024;mzsr
23402;6.57;15.10.2024;mzsr
23407;36.44;15.10.2024;mzsr
2340A;2.25;15.10.2024;mzsr
2341D;760.74;15.10.2024;mzsr
2342B;12.89;15.10.2024;mzsr
2345A;7.35;15.10.2024;mzsr
2345E;12453.28;15.10.2024;mzsr
2348C;27.00;15.10.2024;mzsr
2348D;33.37;15.10.2024;mzsr
2349A;3.00;15.10.2024;mzsr
23508;29.04;15.10.2024;mzsr
23521;5.16;15.10.2024;mzsr
23523;15.48;15.10.2024;mzsr
2354A;9.80;15.10.2024;mzsr
2355C;24.07;15.10.2024;mzsr
2355D;31.86;04.06.2025;mzsr
2356E;10.46;15.10.2024;mzsr
2359D;21.78;15.10.2024;mzsr
2359E;12.22;15.10.2024;mzsr
23609;18.36;15.10.2024;mzsr
2362B;6.87;15.10.2024;mzsr
23641;30.50;15.10.2024;mzsr
2364B;13.80;15.10.2024;mzsr
2366C;2735.58;15.10.2024;mzsr
2367C;2830.32;15.10.2024;mzsr
2367E;298.31;15.10.2024;mzsr
23690;52.02;15.10.2024;mzsr
23713;53.79;15.10.2024;mzsr
23752;68.70;15.10.2024;mzsr
2375D;3.03;15.10.2024;mzsr
2376D;9.08;15.10.2024;mzsr
2380C;42.36;15.10.2024;mzsr
2387D;6.54;15.10.2024;mzsr
2388C;42.48;15.10.2024;mzsr
2391D;19.62;15.10.2024;mzsr
2394B;13118.22;15.10.2024;mzsr
2394D;8.28;15.10.2024;mzsr
2396C;41.50;15.10.2024;mzsr
23977;46.35;15.10.2024;mzsr
23978;9.27;15.10.2024;mzsr
2397B;2299.64;15.10.2024;mzsr
2398A;58.10;15.10.2024;mzsr
2398D;24.84;15.10.2024;mzsr
2399B;2557.73;15.10.2024;mzsr
2401B;11.78;15.10.2024;mzsr
24027;4.59;15.10.2024;mzsr
2404C;42.72;15.10.2024;mzsr
2404D;2.10;02.12.2024;mzsr
24079;3.60;15.10.2024;mzsr
2410B;2.02;15.10.2024;mzsr
2410D;4.20;02.12.2024;mzsr
2411B;20.20;15.10.2024;mzsr
2412C;42.80;15.10.2024;mzsr
2414D;3.00;15.10.2024;mzsr
2415D;9.00;15.10.2024;mzsr
2419B;0.56;15.10.2024;mzsr
2420C;40.84;01.07.2025;mzsr
2420D;3.84;15.10.2024;mzsr
2421D;11.52;15.10.2024;mzsr
2422A;19.83;15.10.2024;mzsr
2423B;1.96;15.10.2024;mzsr
2424C;40.84;03.01.2025;mzsr
2427B;1.20;15.10.2024;mzsr
2428E;12.15;15.10.2024;mzsr
2430B;3.92;15.10.2024;mzsr
2436D;33.37;15.10.2024;mzsr
2439D;33.37;15.10.2024;mzsr
2440A;48.98;15.10.2024;mzsr
2440B;87.43;15.10.2024;mzsr
2440E;43.40;15.10.2024;mzsr
24459;3.14;15.10.2024;mzsr
24519;3.93;15.10.2024;mzsr
2452E;1255.42;15.10.2024;mzsr
24546;16.52;15.10.2024;mzsr
2456E;885.58;15.10.2024;mzsr
24663;5.99;15.10.2024;mzsr
2467E;252.63;01.04.2025;mzsr
24682;2.24;15.10.2024;mzsr
2468B;4.80;15.10.2024;mzsr
2468E;536.66;01.04.2025;mzsr
2469B;6.11;15.10.2024;mzsr
2469E;893.88;01.04.2025;mzsr
2470D;1316.98;15.10.2024;mzsr
2471D;2633.95;15.10.2024;mzsr
2472D;4823.97;01.07.2025;mzsr
24742;7.62;15.10.2024;mzsr
2474E;298.30;15.10.2024;mzsr
24814;5.50;15.10.2024;mzsr
2484E;333.45;15.10.2024;mzsr
24857;1.33;15.10.2024;mzsr
24858;3.32;15.10.2024;mzsr
24868;21.00;15.10.2024;mzsr
24871;20.06;15.10.2024;mzsr
24872;21.98;15.10.2024;mzsr
24942;1.20;15.10.2024;mzsr
24946;1.51;15.10.2024;mzsr
24949;1.83;15.10.2024;mzsr
2494A;4.60;15.10.2024;mzsr
24950;3.62;15.10.2024;mzsr
2495A;22.94;15.10.2024;mzsr
25037;4.44;15.10.2024;mzsr
2504D;5.91;15.10.2024;mzsr
2508D;6.54;15.10.2024;mzsr
25090;0.99;15.10.2024;mzsr
25091;1.49;15.10.2024;mzsr
25092;12.61;15.10.2024;mzsr
2509D;19.62;15.10.2024;mzsr
25110;0.44;15.10.2024;mzsr
2512D;8.28;15.10.2024;mzsr
25130;21.75;15.10.2024;mzsr
25131;36.54;15.10.2024;mzsr
25132;45.54;15.10.2024;mzsr
25133;53.84;15.10.2024;mzsr
25134;66.97;15.10.2024;mzsr
2513D;24.84;15.10.2024;mzsr
25162;36.77;15.10.2024;mzsr
2516B;182.78;15.10.2024;mzsr
2516D;9.12;15.10.2024;mzsr
2517D;27.36;15.10.2024;mzsr
2523A;5.59;15.10.2024;mzsr
25295;1.49;15.10.2024;mzsr
2529D;1205.93;15.10.2024;mzsr
25313;9.23;15.10.2024;mzsr
25314;36.94;15.10.2024;mzsr
2532D;852.28;15.10.2024;mzsr
25345;1.31;15.10.2024;mzsr
2538C;3.60;15.10.2024;mzsr
2545C;7.20;15.10.2024;mzsr
2550D;1133.23;15.10.2024;mzsr
25553;2.40;15.10.2024;mzsr
25560;26.16;15.10.2024;mzsr
2556D;1205.93;15.10.2024;mzsr
2559D;852.28;15.10.2024;mzsr
25607;36.55;15.10.2024;mzsr
25634;1.80;15.10.2024;mzsr
2563D;2105.64;15.10.2024;mzsr
25647;0.62;15.10.2024;mzsr
25651;1.23;15.10.2024;mzsr
25655;2.46;15.10.2024;mzsr
2566D;33.37;15.10.2024;mzsr
25671;4.29;15.10.2024;mzsr
2567A;46.30;15.10.2024;mzsr
2568A;17932.89;15.10.2024;mzsr
2572D;33.37;15.10.2024;mzsr
25749;1.60;15.10.2024;mzsr
25764;2.69;15.10.2024;mzsr
25766;1.32;15.10.2024;mzsr
25769;3.24;15.10.2024;mzsr
25771;2.90;15.10.2024;mzsr
2579D;33.37;15.10.2024;mzsr
25884;29.84;15.10.2024;mzsr
2589E;298.30;15.10.2024;mzsr
25931;1.68;15.10.2024;mzsr
25980;23.79;15.10.2024;mzsr
25982;15.42;15.10.2024;mzsr
25993;1.49;15.10.2024;mzsr
2607A;21701.11;15.10.2024;mzsr
26105;664.23;15.10.2024;mzsr
26109;308.66;15.10.2024;mzsr
2612C;12.28;15.10.2024;mzsr
2624D;130.38;15.10.2024;mzsr
26252;3.43;15.10.2024;mzsr
26277;1.64;15.10.2024;mzsr
2633B;87.75;15.10.2024;mzsr
2636D;256.56;15.10.2024;mzsr
26375;2.91;15.10.2024;mzsr
26377;2.79;04.03.2025;mzsr
26440;3.72;15.10.2024;mzsr
26443;5.58;15.10.2024;mzsr
2645D;11.87;15.10.2024;mzsr
26460;5.24;15.10.2024;mzsr
26461;6.99;15.10.2024;mzsr
26478;5.40;15.10.2024;mzsr
2647D;17.81;15.10.2024;mzsr
2649E;10.47;04.11.2024;mzsr
26526;4.90;15.10.2024;mzsr
26529;8.00;15.10.2024;mzsr
26538;5.90;15.10.2024;mzsr
2655E;14345.00;04.11.2024;mzsr
26572;1.44;15.10.2024;mzsr
26573;3.60;15.10.2024;mzsr
26576;8.63;15.10.2024;mzsr
2657E;20.21;15.10.2024;mzsr
26588;10.70;15.10.2024;mzsr
26600;5.02;15.10.2024;mzsr
26601;12.55;15.10.2024;mzsr
26606;1.90;15.10.2024;mzsr
2660E;4.83;15.10.2024;mzsr
26610;3.60;15.10.2024;mzsr
2664C;24.07;15.10.2024;mzsr
2664E;6.81;15.10.2024;mzsr
2668E;7.68;15.10.2024;mzsr
26704;3.99;15.10.2024;mzsr
2685C;5.63;15.10.2024;mzsr
26883;3.93;15.10.2024;mzsr
2694E;62.12;15.10.2024;mzsr
27002;2.70;15.10.2024;mzsr
2700E;36.65;15.10.2024;mzsr
2711B;790.66;15.10.2024;mzsr
2711D;2.46;15.10.2024;mzsr
2714B;3.31;15.10.2024;mzsr
2714C;50.36;15.10.2024;mzsr
2714D;7.92;15.10.2024;mzsr
2720B;4.49;15.10.2024;mzsr
27289;3.08;15.10.2024;mzsr
27293;8.85;15.10.2024;mzsr
2734E;26.34;04.02.2025;mzsr
2737E;73.75;04.02.2025;mzsr
27385;312.00;15.10.2024;mzsr
27391;312.00;15.10.2024;mzsr
2744E;26.34;04.02.2025;mzsr
27455;39.67;15.10.2024;mzsr
2746E;73.75;04.02.2025;mzsr
2749D;91.98;15.10.2024;mzsr
2750D;275.94;15.10.2024;mzsr
2751C;14.48;15.10.2024;mzsr
2753D;33.37;15.10.2024;mzsr
2753E;3.06;03.01.2025;mzsr
27549;1.77;15.10.2024;mzsr
2754E;9.62;15.10.2024;mzsr
27551;5.90;15.10.2024;mzsr
2756B;12.03;15.10.2024;mzsr
2758E;507.20;15.10.2024;mzsr
2761E;760.74;15.10.2024;mzsr
2763C;17.89;15.10.2024;mzsr
2772C;58.13;15.10.2024;mzsr
2773A;16.54;15.10.2024;mzsr
2774A;66.17;15.10.2024;mzsr
2774B;20.37;15.10.2024;mzsr
2777C;54.75;15.10.2024;mzsr
27789;4.44;15.10.2024;mzsr
27802;0.84;15.10.2024;mzsr
27805;12.58;15.10.2024;mzsr
2780B;21.27;15.10.2024;mzsr
2791B;6.05;15.10.2024;mzsr
27959;13.40;15.10.2024;mzsr
27961;21.41;15.10.2024;mzsr
27962;13.29;15.10.2024;mzsr
27978;4.32;15.10.2024;mzsr
2801B;20.37;15.10.2024;mzsr
2804D;0.70;15.10.2024;mzsr
2805D;1.40;15.10.2024;mzsr
2806B;21.29;15.10.2024;mzsr
2806D;1.39;15.10.2024;mzsr
2807D;2.78;15.10.2024;mzsr
2808D;2.80;15.10.2024;mzsr
2809D;5.60;15.10.2024;mzsr
28169;10.08;15.10.2024;mzsr
2817B;995.43;15.10.2024;mzsr
28202;89.10;15.10.2024;mzsr
28203;89.10;15.10.2024;mzsr
2827D;13018.99;15.10.2024;mzsr
28302;1.26;15.10.2024;mzsr
28303;2.52;15.10.2024;mzsr
2830D;3.66;01.04.2025;mzsr
28311;1.04;15.10.2024;mzsr
28312;2.08;15.10.2024;mzsr
2834B;14.20;15.10.2024;mzsr
2834D;4.80;01.04.2025;mzsr
28360;3.93;15.10.2024;mzsr
28409;74.77;15.10.2024;mzsr
28410;74.77;15.10.2024;mzsr
2846D;5.55;01.04.2025;mzsr
2846E;1.65;15.10.2024;mzsr
2849B;12.53;15.10.2024;mzsr
2850D;6.00;01.04.2025;mzsr
2850E;2.88;15.10.2024;mzsr
2854E;3.30;15.10.2024;mzsr
2858E;4.08;15.10.2024;mzsr
28603;20.05;15.10.2024;mzsr
28604;140.32;15.10.2024;mzsr
2861D;365.57;15.10.2024;mzsr
28639;2.50;15.10.2024;mzsr
2863D;394.73;15.10.2024;mzsr
28641;1.25;15.10.2024;mzsr
28652;10.01;15.10.2024;mzsr
28654;94.46;15.10.2024;mzsr
2867D;452.76;15.10.2024;mzsr
28689;56.53;15.10.2024;mzsr
2868B;16.80;15.10.2024;mzsr
28690;141.33;15.10.2024;mzsr
2870B;60.00;15.10.2024;mzsr
28718;3.56;15.10.2024;mzsr
28720;2.40;15.10.2024;mzsr
28725;3.63;15.10.2024;mzsr
28730;4.84;15.10.2024;mzsr
2876B;19216.94;15.10.2024;mzsr
28784;12.93;15.10.2024;mzsr
28788;23.69;15.10.2024;mzsr
28792;44.46;15.10.2024;mzsr
2881E;14.03;15.10.2024;mzsr
2882E;66.64;15.10.2024;mzsr
2883E;133.28;15.10.2024;mzsr
28856;4.31;15.10.2024;mzsr
2889D;0.75;15.10.2024;mzsr
28911;1.49;15.10.2024;mzsr
28912;2.23;15.10.2024;mzsr
28913;2.48;15.10.2024;mzsr
28950;0.54;15.10.2024;mzsr
28951;1.62;15.10.2024;mzsr
2898B;621.58;15.10.2024;mzsr
28992;193.01;15.10.2024;mzsr
2904D;1.50;15.10.2024;mzsr
2919D;1.92;15.10.2024;mzsr
2930E;298.30;15.10.2024;mzsr
2958E;8.79;15.10.2024;mzsr
2960E;26.37;15.10.2024;mzsr
2964E;29.40;15.10.2024;mzsr
2965E;88.05;15.10.2024;mzsr
2968D;191.88;15.10.2024;mzsr
2970D;133.05;15.10.2024;mzsr
2972E;29.40;15.10.2024;mzsr
2973E;88.20;15.10.2024;mzsr
2984D;8.96;15.10.2024;mzsr
